Time,MMA103,MMA108,MMA122,MMA125,MMA183,MMA191,MMA200,MMA201,MMA271,MMA273,R108,R173,R431
1,16.126348,-116.91381,83.118947,8.7008063,-41.000423,-4.077794,54.449326,-192.33509,-6.8643132,-53.346631,474.68,-7.1,-19.18
2,31.386921,-93.727415,72.684504,8.6500992,-31.144533,25.102625,30.376389,-121.30038,-6.3734284,-37.726478,441.06,6.36,-6.56
3,63.394615,-12.865275,52.439184,11.415955,6.7030862,71.05787,-42.321194,34.443204,-8.7501528,-2.9203508,346.33,37.33,15.54
4,59.486915,130.96443,35.290535,26.825672,75.629866,13.604424,-141.41201,122.86057,-13.735387,11.533199,180.92,52.05,5.16
5,-20.098775,152.02848,5.1344682,34.758251,69.215285,-132.89679,-141.70774,37.785808,9.3768794,-34.10238,22.52,12.29,-35.73
6,-133.35524,-82.67977,-48.823042,-2.3697476,-89.084342,-159.85441,21.01881,-136.02042,79.85831,-121.73699,-59.5,-66.49,-59.02
7,-153.94963,-330.24201,-82.618211,-72.696625,-238.23184,119.02082,207.86835,-180.6171,130.85857,-141.07251,-58.11,-92.9,-26.46
8,15.288632,-70.902126,-36.459654,-83.006438,-33.59595,453.07859,133.91975,45.182341,31.348878,45.683271,-22.37,32.12,46.7
9,298.15211,830.70649,79.891092,81.294705,601.28001,177.81487,-250.29879,398.05409,-237.01455,421.61879,0.18,288.72,104.12
10,470.21114,1714.5633,179.85674,471.44899,1171.1984,-916.46959,-431.3232,520.55801,-462.36761,727.2579,-1.53,505.36,96.4
11,407.90279,1741.276,194.55164,1034.7182,1054.5898,-1777.341,276.41824,205.74365,-391.56207,683.83056,-12.82,504.76,15.53
12,279.91778,896.3008,148.11111,1565.9401,278.40657,-927.96631,1691.8411,-364.77048,-45.565672,313.61742,-19.34,284.82,-108.39
13,377.26521,4.3260152,113.55392,1689.399,-442.40938,1475.1388,2392.5575,-824.33431,281.69234,-83.599999,-18.51,16.67,-233.93
14,745.11205,-271.41864,119.33555,1094.4302,-525.98582,3350.442,1044.5017,-965.47078,363.77177,-267.20683,-14.68,-133.89,-333.05
15,1068.7004,-60.841833,139.60487,-71.674243,-131.28572,3244.9219,-1739.3482,-793.2322,264.31281,-241.60551,-11.42,-143.77,-400.81
16,939.32507,131.10853,154.75915,-1210.8149,173.79966,2061.9476,-3478.5582,-383.03446,188.40749,-128.06478,-9.14,-100.95,-447.74
17,227.56966,89.46618,169.08045,-1789.0094,127.83807,1162.6975,-2346.4696,151.74687,219.66933,-6.9781187,-6.86,-91.47,-481.39
18,-719.07962,-42.76693,177.22756,-1701.3646,-51.187246,237.64747,572.41246,627.34909,275.46342,68.994961,-4.25,-139.37,-495.94
19,-1227.6365,-116.97181,163.58807,-1169.5954,-99.031721,-1281.6638,2280.0577,880.58279,268.38004,7.2176326,-2.22,-223.3,-480.31
20,-847.62162,-154.29112,138.01666,-557.7241,-44.615863,-2208.4017,1344.4189,902.22407,219.14166,-272.70381,-1.94,-315.37,-429.81
21,95.635731,-217.9998,130.90299,-217.74973,-48.129158,-1236.9845,-457.36525,816.51478,193.52478,-681.85321,-3.26,-401.4,-346.74
22,697.58988,-288.36114,142.8355,-222.8431,-96.962367,398.52447,-653.07195,739.1875,201.23107,-921.09744,-4.32,-480.32,-239.03
23,489.00164,-315.78672,134.74762,-358.19407,-41.239197,302.13243,654.52244,697.62375,210.91396,-748.38305,-3.28,-554.59,-124.42
24,43.052677,-313.90231,85.048989,-491.28479,136.74642,-1432.0362,1324.7463,660.11565,219.29399,-334.71635,-0.48,-623.52,-27.18
25,165.19113,-334.27823,26.635532,-578.0765,266.22538,-2250.8564,433.91565,588.63261,243.52535,-156.58629,1.71,-682.43,37.5
26,703.6389,-380.78848,5.1471871,-293.82337,217.29494,-937.39252,-725.76663,473.0741,269.69342,-377.53942,1.47,-721.24,73.37
27,802.36573,-406.65386,23.31653,599.47402,62.479685,814.55808,-961.26473,343.95017,265.5998,-564.15264,-0.55,-724.89,94.69
28,225.52432,-386.58182,47.904677,1424.3228,-33.098526,1224.6425,-751.29242,243.03369,236.85744,-308.2206,-2.29,-685.8,111.56
29,-367.74361,-341.18035,52.298981,1106.8695,-6.8383527,809.23636,-878.86866,178.75766,223.53305,95.173012,-2.83,-616.18,126.21
30,-531.96832,-292.16627,32.072762,-201.77747,60.901138,828.62495,-963.19066,130.01602,236.89216,53.355911,-3.13,-536.91,139.48
31,-578.77841,-241.85798,-4.1650252,-1050.3207,58.397017,1022.499,-370.18243,84.07086,239.71701,-375.70021,-3.98,-454.4,156.08
32,-782.03389,-199.01259,-37.433031,-669.96178,-44.979243,430.08198,431.92152,43.365555,205.00045,-527.39312,-4.51,-358.82,183.94
33,-834.78573,-179.65087,-42.746839,-42.127698,-172.50277,-614.16152,575.02881,6.1376009,158.31064,-139.16296,-3.72,-244.87,229.17
34,-496.93733,-177.71289,-12.161773,-333.48666,-205.98642,-955.08753,268.464,-32.298387,136.326,298.36797,-2.59,-123.41,288.27
35,-141.19403,-171.59912,27.499389,-1129.8134,-113.5377,-593.47784,416.96765,-66.719271,134.98168,353.66263,-2.82,-9.7,344.98
36,-155.39181,-158.79475,35.277812,-1189.3775,-11.331805,-621.82079,982.9917,-90.219976,130.37136,233.06137,-4.15,89.84,381.38
37,-262.21826,-151.85547,0.22667336,-417.00061,-34.369697,-1226.2807,933.37476,-106.90315,122.69798,265.41026,-4.49,173.57,393.69
38,4.6343197,-146.82536,-42.878186,77.890903,-156.05127,-1266.9589,-5.4536524,-121.95688,123.73604,315.24786,-2.93,236.18,392.91
39,434.87241,-128.36946,-48.549081,-207.63174,-231.3397,-226.23166,-714.68778,-129.03051,122.65068,110.83428,-0.81,273.37,391.11
40,390.34484,-101.79807,-6.3124822,-455.07717,-215.67208,837.41022,-362.27161,-121.21911,100.40546,-196.70649,0.22,290.81,391.73
41,-161.71697,-89.028163,53.314652,65.866336,-213.18992,964.45716,283.98139,-106.87137,65.890934,-255.85324,-0.19,300.31,388.55
42,-528.30245,-91.013466,89.50241,836.3946,-273.86491,665.19634,66.788977,-101.08359,46.102993,-116.9799,-1.44,307.88,368.89
43,-329.04378,-81.53678,80.487665,961.96609,-286.90916,747.05355,-772.19756,-104.63606,44.897685,-153.9863,-2.52,311.58,323.78
44,-41.831035,-47.28341,35.30587,507.06281,-166.90137,872.13582,-1055.382,-103.81635,39.074571,-399.73683,-2.01,310.25,259.43
45,-210.75814,-10.958357,-9.5231979,155.58566,-19.96183,345.91339,-488.0632,-93.273655,16.617275,-418.56616,0.91,308.52,192.69
46,-617.97514,1.0553953,-13.681593,19.472154,5.4774787,-465.619,123.25445,-86.774187,-7.1210846,-4.3358288,4.59,311.95,132.32
47,-696.07946,-4.9166464,30.690575,-291.58142,-61.605256,-675.72929,318.1071,-95.795691,-17.948397,407.20699,5.48,322.01,71.05
48,-405.96334,-6.2216715,86.998075,-678.47651,-88.846942,-390.29564,482.57961,-107.93656,-23.338321,343.5147,1.87,336.7,-2.23
49,-155.42168,-0.50528732,105.50358,-600.4825,-63.534216,-493.3685,786.24103,-103.14567,-33.159061,5.1011894,-3.32,353.11,-88.58
50,-56.900305,-0.35087605,66.453293,-84.511797,-86.170347,-1015.0655,726.18902,-84.759714,-40.651235,-51.012667,-5.16,367.86,-179.48
51,128.23336,-2.4772616,-4.4982343,196.8793,-175.59956,-940.68049,116.34469,-74.249384,-37.074638,237.91561,-2.29,375.35,-265.55
52,373.93282,8.7729176,-55.133031,-3.3602934,-233.78178,50.465387,-377.90079,-78.665289,-29.9451,383.51801,1.49,368.92,-341.98
53,333.74276,30.543776,-46.63799,-116.39342,-214.8279,831.54265,-233.46848,-84.634457,-30.948107,121.28992,1.94,348.63,-409.63
54,-17.420087,41.507538,9.6214817,289.62686,-192.51244,488.02057,82.545555,-83.517161,-35.198607,-224.18364,-0.99,326.54,-472.46
55,-234.26667,35.847978,56.797166,806.04068,-212.26507,-239.11455,-123.26101,-81.286744,-29.363323,-279.55144,-4.24,316.83,-527.51
56,-81.067417,33.514689,46.830262,851.02334,-199.76507,-106.91792,-649.17571,-81.272139,-16.948743,-138.61273,-5.82,320.28,-557.85
57,95.287814,48.616311,-12.392245,536.91967,-103.5271,721.26471,-750.06647,-76.466331,-16.682942,-101.26979,-5.97,324.31,-546.52
58,-67.332076,66.390016,-70.813361,327.05748,-22.798697,1030.7135,-314.75909,-65.496237,-32.126643,-174.77248,-4.99,318.23,-500.45
59,-375.957,64.588176,-84.815047,208.53109,-69.361246,447.25355,84.554304,-60.624851,-42.439684,-132.94206,-2.88,302.98,-451.19
60,-419.76928,48.147618,-43.948934,-126.39172,-174.49287,-214.10804,200.75567,-69.425548,-33.929564,67.410676,-1.09,285.61,-430.29
61,-204.43066,47.540615,28.833798,-507.01579,-178.60894,-420.124,355.52012,-79.789448,-22.844289,226.45123,-2.0,270.06,-448.42
62,-42.305111,78.472785,87.095066,-437.60069,-77.897123,-539.44435,623.70251,-76.322625,-30.170411,239.87004,-5.22,254.32,-491.59
63,12.927958,112.76588,92.686123,17.458348,-29.620588,-779.27344,581.37369,-63.937603,-47.749595,231.12952,-6.94,233.56,-529.85
64,163.07937,106.02184,54.465432,220.73956,-109.84014,-641.10822,108.2674,-60.30814,-50.680985,272.86896,-4.98,206.13,-537.78
65,370.98602,55.732393,15.750515,-47.240187,-212.54927,60.273971,-255.52529,-69.88955,-34.970719,225.70297,-2.72,176.85,-514.33
66,346.93318,9.7428129,-1.9755491,-230.58219,-227.06886,575.7492,-125.46849,-81.097998,-19.63827,16.364189,-5.26,152.26,-478.93
67,74.350147,8.345008,-12.870041,111.06304,-187.04817,303.87307,101.50423,-87.221981,-15.114152,-141.40688,-12.23,132.37,-448.76
68,-86.084866,41.848942,-24.606559,604.3709,-176.26318,-198.91617,-104.89521,-95.436388,-13.533652,-39.303414,-17.37,110.31,-425.76
69,46.537552,75.585098,-24.587235,654.89296,-186.20311,-54.726201,-533.35368,-113.16019,-11.080233,168.07383,-16.16,80.73,-400.37
70,180.80673,91.723703,-12.992797,335.4377,-155.75547,570.4328,-561.35204,-135.63725,-16.3394,169.06051,-11.49,45.54,-359.27
71,25.142555,93.895432,-6.9492841,182.01264,-91.869848,772.25668,-147.03386,-151.63277,-30.798849,-30.599289,-10.2,10.8,-294.74
72,-242.83767,90.780232,-4.8558176,326.01165,-56.317199,308.35628,125.02169,-156.90476,-40.927253,-124.5263,-14.49,-19.16,-213.82
73,-261.44682,89.408009,14.257444,367.71285,-55.625991,-185.92196,-20.054791,-156.10689,-38.221298,25.722209,-19.38,-42.99,-133.97
74,-42.913222,94.750263,49.128129,87.387138,-34.921811,-317.37775,-163.48093,-152.14585,-32.662176,224.94722,-19.24,-60.55,-65.92
75,84.160308,105.3233,70.341857,-214.60247,13.945674,-387.92128,75.302088,-142.17569,-37.054679,288.7135,-15.25,-72.95,-5.62
76,5.0722014,113.17036,65.235348,-232.58111,26.065417,-588.58963,433.13261,-126.58397,-47.843368,279.52402,-13.8,-83.13,54.86
77,-44.345943,114.17241,56.46875,-99.656254,-26.903362,-566.90191,463.95395,-111.56476,-51.498882,293.05728,-17.83,-93.59,114.63
78,103.01801,113.51653,61.907345,-53.638418,-81.773379,-137.45725,222.86286,-98.807714,-44.608389,254.50078,-22.9,-102.91,166.07
79,288.25203,115.83159,64.327851,3.2141873,-81.029368,243.70047,57.970682,-83.332307,-36.638001,100.75228,-23.43,-106.58,205.16
80,308.61226,117.73028,42.88277,251.80156,-53.379472,170.00845,-12.318856,-64.769088,-33.880281,-20.900878,-20.53,-101.85,236.04
81,219.9147,116.93334,14.053345,518.06926,-47.544434,-35.656395,-211.33735,-50.107604,-32.451184,49.599997,-20.25,-90.51,267.6
82,172.89692,119.37851,12.863679,498.34512,-48.88428,148.57948,-446.50112,-42.020739,-29.88227,204.10739,-24.84,-76.4,307.38
83,132.27545,129.22868,42.013813,269.32892,-20.610176,553.47599,-380.8015,-33.656655,-31.699965,206.47997,-29.16,-61.9,353.57
84,-8.0198748,140.44093,67.124515,173.30112,19.555449,557.6498,-47.809573,-19.40762,-40.370503,55.510581,-26.97,-47.09,391.45
85,-160.03456,145.11158,61.974228,269.85745,28.331036,94.698218,113.46797,-4.0101292,-47.894298,-16.84761,-19.13,-31.17,404.35
86,-149.46769,143.41569,34.935882,278.7139,15.680354,-214.23536,-64.908917,5.0810181,-47.153389,96.805939,-12.96,-14.03,391.03
87,-15.453448,140.81573,8.5558587,72.236028,29.249022,-25.728153,-213.86913,9.3630121,-43.204461,241.43558,-13.43,2.71,367.11
88,43.767756,140.42185,-4.6418232,-125.04932,66.556054,216.70032,-19.406579,15.216088,-45.346268,264.3606,-17.11,16.71,349.79
89,-6.9860899,141.53816,-1.8592683,-124.13161,69.329849,15.374389,298.56844,21.398013,-52.695022,221.35279,-16.79,27.19,345.72
90,-2.7337788,142.68024,12.585055,-49.501253,20.720644,-414.40506,364.52798,20.530781,-55.964397,224.83652,-10.86,35.83,349.58
91,127.15966,141.36343,23.573134,-50.623601,-14.948511,-529.98476,202.51686,12.302528,-52.054785,243.5758,-5.31,44.86,348.25
92,241.42932,132.88697,17.853256,-7.8961744,16.409344,-283.54524,78.410885,4.8841391,-48.188797,184.91033,-5.81,54.64,330.95
93,227.09221,119.64941,3.0283324,209.5727,82.053827,-50.942011,12.451435,1.6107689,-49.397669,78.047311,-10.52,63.7,300.11
94,170.08185,121.3423,-4.223012,407.37702,124.71494,58.146595,-155.00901,-3.9675807,-50.220673,32.553715,-13.06,70.9,269.23
95,171.00975,154.50902,-4.930238,317.26812,155.27975,249.74145,-340.34826,-15.895749,-44.510657,55.195107,-11.13,76.71,249.54
96,150.73416,195.09077,-11.248802,62.127115,221.23064,474.34134,-282.57669,-27.227299,-36.585387,46.209783,-9.13,82.38,242.62
97,7.5450666,192.12002,-20.495506,17.644757,314.40502,395.15324,-15.351992,-29.759345,-34.731603,-17.251882,-11.49,88.3,242.88
98,-148.53245,136.19376,-21.817754,232.82119,379.25828,19.403593,116.29355,-26.120824,-38.954074,-27.255502,-15.98,93.01,241.93
99,-120.9974,81.833153,-22.519201,332.99721,396.57619,-160.7201,-25.482575,-24.804313,-43.514901,77.441517,-16.67,93.86,232.85
100,65.716056,78.648598,-36.968986,89.110554,394.12346,107.58112,-170.21933,-27.168316,-46.705195,191.88257,-12.83,89.79,214.17
101,172.69898,110.89458,-50.304777,-209.58523,382.36565,358.08154,-66.689658,-27.156713,-49.875715,175.02774,-11.31,83.47,189.07
102,56.421601,130.10617,-29.257583,-147.35804,341.72483,-5.053433,179.27605,-21.849623,-51.555557,23.76396,-18.2,79.13,162.24
103,-152.25697,121.49717,17.994609,206.37019,284.4474,-765.01726,322.47457,-15.762524,-50.235637,-128.4233,-29.11,78.68,143.33
104,-304.51394,242.99434,35.989217,412.74038,568.8948,-1530.0345,644.94914,-31.525048,-100.47127,-256.84661,-34.19,78.93,135.95
